,business_operator,detail_url,street_number,street,total_outstanding,total_units,geo_local_area,lat,long,zoning_classification,current_land_value,year_built
52189,City of Vancouver,http://app.vancouver.ca/RPS_Net/Default.aspx?num=3484&street=KINGSWAY,3484,KINGSWAY,7,123,Killarney,49.23140021,-123.03124616,Commercial,24971000.0,1962
53434,Shane Kit Chung Cheung (Shane Cheung),http://app.vancouver.ca/RPS_Net/Default.aspx?num=3611&street=KINGSWAY,3611,KINGSWAY,2,7,Renfrew-Collingwood,49.23248561,-123.02555193,Commercial,2801000.0,1981
53857,1096329 BC Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=7849&street=KNIGHT%20STREET,7849,KNIGHT ST,1,12,Sunset,49.21330929,-123.07751815,Residential,2249000.0,1959
54081,David Hsing Sheng Hsu (David Hsu),http://app.vancouver.ca/RPS_Net/Default.aspx?num=8680&street=LAUREL%20STREET,8680,LAUREL ST,4,28,Marpole,49.20699836,-123.12594167,Residential,5760000.0,1966
56805,ThePorter Residences Development Limited Partnership,http://app.vancouver.ca/RPS_Net/Default.aspx?num=2339&street=MAIN%20STREET,2339,MAIN ST,1,29,Mount Pleasant,49.26399911,-123.10141092,Commercial,4941000.0,1910
58351,Kevington Building Corporation Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=4453&street=MAIN%20STREET,4453,MAIN ST,1,79,Riley Park,49.24519925,-123.10168308,Commercial,25109000.0,2007
59179,International Business Travelers Hostel Inc,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1038&street=MAIN%20STREET,1038,MAIN ST,34,104,Strathcona,49.27518738,-123.09953914,Commercial,9127000.0,1910
61950,Charl Hammer,http://app.vancouver.ca/RPS_Net/Default.aspx?num=4655&street=MAIN%20STREET,4655,MAIN ST,4,10,Riley Park,49.24278359,-123.10176392,Commercial,5292000.0,1971
62977,Shun Chi Company Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=507&street=MAIN%20STREET,507,MAIN ST,5,30,Downtown,49.28012653,-123.100152,Historical Area,343000.0,2009
63550,Shun Chi Company Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=507&street=MAIN%20STREET,507,MAIN ST,5,30,Downtown,49.28012653,-123.100152,Historical Area,3511000.0,1908
